Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
103,Adrian Houser,32,CHW,AL,3.0,6,2,.750,2.10,11,11,0,0,0,0,68.2,62,19,16,3,22,0,47,1,1,3,275,200,3.34,1.223,8.1,0.4,2.9,6.2,2.14,,housead01
103,Adrian Houser,32,TBR,AL,0.3,2,3,.400,4.79,10,10,0,0,0,0,56.1,60,30,30,7,16,0,45,7,2,2,243,86,4.38,1.349,9.6,1.1,2.6,7.2,2.81,,housead01
104,Taijuan Walker,32,PHI,NL,1.5,5,8,.385,4.08,34,21,4,0,0,1,123.2,132,62,56,21,42,0,86,4,0,1,538,108,5.07,1.407,9.6,1.5,3.1,6.3,2.05,,walketa01
105,Andrew Heaney*,34,2TM,NL,-0.3,5,10,.333,5.52,27,23,0,0,0,0,122.1,129,77,75,25,40,0,86,9,0,2,536,78,5.59,1.381,9.5,1.8,2.9,6.3,2.15,,heanean01
105,Andrew Heaney*,34,PIT,NL,-0.2,5,10,.333,5.39,26,23,0,0,0,0,120.1,125,74,72,24,39,0,84,9,0,2,525,79,5.53,1.363,9.3,1.8,2.9,6.3,2.15,,heanean01
105,Andrew Heaney*,34,LAD,NL,-0.2,0,0,,13.50,1,0,0,0,0,0,2.0,4,3,3,1,1,0,2,0,0,0,11,36,9.14,2.500,18.0,4.5,4.5,9.0,2.00,,heanean01
106,Chad Patrick,26,MIL,NL,1.9,3,8,.273,3.53,27,23,0,0,0,0,119.2,113,49,47,13,40,1,127,4,0,1,503,117,3.53,1.279,8.5,1.0,3.0,9.6,3.18,ROY-7,patrich01
107,Cade Horton,23,CHC,NL,2.0,11,4,.733,2.67,23,22,0,0,0,0,118.0,95,40,35,10,33,0,97,6,0,1,476,144,3.58,1.085,7.2,0.8,2.5,7.4,2.94,ROY-2,hortoca01
108,Cal Quantrill,30,2TM,NL,-0.6,4,12,.250,6.04,26,26,0,0,0,0,117.2,136,81,79,22,35,0,85,5,0,3,513,73,5.14,1.453,10.4,1.7,2.7,6.5,2.43,,quantca01
108,Cal Quantrill,30,MIA,NL,-0.1,4,10,.286,5.50,24,24,0,0,0,0,109.2,122,69,67,17,30,0,82,5,0,3,470,80,4.61,1.386,10.0,1.4,2.5,6.7,2.73,,quantca01
108,Cal Quantrill,30,ATL,NL,-0.5,0,2,.000,13.50,2,2,0,0,0,0,8.0,14,12,12,5,5,0,3,0,0,0,43,32,12.39,2.375,15.8,5.6,5.6,3.4,0.60,,quantca01
109,Kris Bubic*,27,KCR,AL,3.1,8,7,.533,2.55,20,20,0,0,0,0,116.1,98,38,33,6,39,1,116,3,0,1,476,161,2.89,1.178,7.6,0.5,3.0,9.0,2.97,AS,bubickr01
110,Grant Holmes,29,ATL,NL,1.4,4,9,.308,3.99,22,21,1,0,0,0,115.0,100,52,51,16,54,1,123,7,0,5,492,104,4.40,1.339,7.8,1.3,4.2,9.6,2.28,,holmegr01
111,Kodai Senga,32,NYM,NL,2.1,7,6,.538,3.02,22,22,0,0,0,0,113.1,94,44,38,12,55,0,109,3,0,5,482,133,4.12,1.315,7.5,1.0,4.4,8.7,1.98,,sengako01
112,Clayton Kershaw*,37,LAD,NL,1.6,11,2,.846,3.36,23,22,0,0,0,0,112.2,102,46,42,8,35,0,84,2,1,5,463,124,3.55,1.216,8.1,0.6,2.8,6.7,2.40,AS,kershcl01
113,Stephen Kolek,28,2TM,2LG,2.0,5,7,.417,3.51,19,19,0,1,1,0,112.2,98,49,44,9,31,1,77,7,0,0,461,121,3.82,1.145,7.8,0.7,2.5,6.2,2.48,,kolekst01
113,Stephen Kolek,28,SDP,NL,0.9,4,5,.444,4.18,14,14,0,1,1,0,79.2,78,40,37,8,26,1,56,7,0,0,336,102,4.28,1.305,8.8,0.9,2.9,6.3,2.15,,kolekst01
113,Stephen Kolek,28,KCR,AL,1.1,1,2,.333,1.91,5,5,0,0,0,0,33.0,20,9,7,1,5,0,21,0,0,0,125,217,2.71,0.758,5.5,0.3,1.4,5.7,4.20,,kolekst01
114,Cade Povich*,25,BAL,AL,-0.2,3,8,.273,5.21,22,20,0,0,0,0,112.1,125,70,65,17,43,2,118,1,0,6,488,77,4.18,1.496,10.0,1.4,3.4,9.5,2.74,,povicca01
115,Simeon Woods Richardson,24,MIN,AL,2.2,7,4,.636,4.04,23,22,0,0,0,0,111.1,96,53,50,17,46,0,107,3,1,4,471,106,4.52,1.275,7.8,1.4,3.7,8.6,2.33,,woodssi01
116,Jack Kochanowicz,24,LAA,AL,-1.4,3,11,.214,6.81,23,23,0,0,0,0,111.0,136,89,84,21,58,4,72,7,1,4,512,63,6.05,1.748,11.0,1.7,4.7,5.8,1.24,,kochaja01
117,Spencer Schwellenbach,25,ATL,NL,2.2,7,4,.636,3.09,17,17,0,1,0,0,110.2,89,44,38,13,18,1,108,2,0,2,434,134,3.25,0.967,7.2,1.1,1.5,8.8,6.00,,schwesp01
118,Janson Junk,29,MIA,NL,1.0,6,4,.600,4.17,21,16,3,0,0,1,110.0,112,54,51,8,13,0,77,4,0,2,447,106,3.14,1.136,9.2,0.7,1.1,6.3,5.92,,junkja01
119,Trevor Rogers*,27,BAL,AL,5.5,9,3,.750,1.81,18,18,0,1,0,0,109.2,70,23,22,6,29,0,103,2,1,0,423,223,2.82,0.903,5.7,0.5,2.4,8.5,3.55,CYA-9,rogertr01
120,Hunter Greene,25,CIN,NL,4.4,7,4,.636,2.76,19,19,0,1,1,0,107.2,75,35,33,15,26,0,132,2,0,5,420,166,3.27,0.938,6.3,1.3,2.2,11.0,5.08,,greenhu01
121,Landen Roupp,26,SFG,NL,0.7,7,7,.500,3.80,22,22,0,0,0,0,106.2,113,55,45,11,45,1,102,3,1,7,476,105,3.91,1.481,9.5,0.9,3.8,8.6,2.27,,rouppla01
122,Ben Brown,25,CHC,NL,-1.6,5,8,.385,5.92,25,15,3,0,0,1,106.1,121,73,70,18,32,0,121,4,0,5,472,65,4.08,1.439,10.2,1.5,2.7,10.2,3.78,,brownbe02
123,Eric Lauer*,30,TOR,AL,2.2,9,2,.818,3.18,28,15,2,0,0,0,104.2,90,39,37,15,26,1,102,2,0,0,426,134,3.85,1.108,7.7,1.3,2.2,8.8,3.92,,lauerer01
124,Jonathan Cannon,24,CHW,AL,-0.6,4,10,.286,5.82,22,17,1,0,0,0,103.2,116,69,67,19,38,1,86,6,1,2,466,72,5.13,1.486,10.1,1.6,3.3,7.5,2.26,,cannojo02
125,Aaron Civale,30,3TM,2LG,0.1,4,9,.308,4.85,23,18,2,0,0,1,102.0,96,59,55,16,33,1,88,7,2,0,435,86,4.63,1.265,8.5,1.4,2.9,7.8,2.67,,civalaa01
125,Aaron Civale,30,2TM,NL,0.4,2,2,.500,3.86,10,5,2,0,0,1,35.0,30,15,15,8,7,1,33,5,0,0,144,107,5.25,1.057,7.7,2.1,1.8,8.5,4.71,,civalaa01
125,Aaron Civale,30,MIL,NL,0.1,1,2,.333,4.91,5,5,0,0,0,0,22.0,23,12,12,5,7,1,19,2,0,0,94,86,5.59,1.364,9.4,2.0,2.9,7.8,2.71,,civalaa01
125,Aaron Civale,30,CHW,AL,-0.2,2,7,.222,5.37,13,13,0,0,0,0,67.0,66,44,40,8,26,0,55,2,2,0,291,78,4.30,1.373,8.9,1.1,3.5,7.4,2.12,,civalaa01
125,Aaron Civale,30,CHC,NL,0.3,1,0,1.000,2.08,5,0,2,0,0,1,13.0,7,3,3,3,0,0,14,3,0,0,50,191,4.67,0.538,4.8,2.1,0.0,9.7,,,civalaa01
126,Ryan Gusto,26,2TM,2LG,-0.3,7,7,.500,5.67,27,17,2,0,0,0,101.2,114,67,64,17,36,0,97,5,0,0,453,75,4.61,1.475,10.1,1.5,3.2,8.6,2.69,,gustory01
126,Ryan Gusto,26,HOU,AL,0.2,7,4,.636,4.92,24,14,2,0,0,0,86.0,95,50,47,13,28,0,87,3,0,0,379,85,4.16,1.430,9.9,1.4,2.9,9.1,3.11,,gustory01
126,Ryan Gusto,26,MIA,NL,-0.6,0,3,.000,9.77,3,3,0,0,0,0,15.2,19,17,17,4,8,0,10,2,0,0,74,46,7.09,1.723,10.9,2.3,4.6,5.7,1.25,,gustory01
127,Mike Vasil,25,CHW,AL,2.9,5,3,.625,2.50,47,3,17,0,0,4,101.0,74,32,28,8,52,5,82,8,2,4,423,168,4.32,1.248,6.6,0.7,4.6,7.3,1.58,,vasilmi01
128,Carmen Mlodzinski,26,PIT,NL,1.4,5,8,.385,3.55,34,12,7,0,0,0,99.0,102,42,39,8,27,0,89,4,0,5,419,121,3.33,1.303,9.3,0.7,2.5,8.1,3.30,,mlodzca01
129,Chase Dollander,23,COL,NL,-0.3,2,12,.143,6.52,21,21,0,0,0,0,98.0,103,76,71,18,49,0,82,6,0,2,441,75,5.53,1.551,9.5,1.7,4.5,7.5,1.67,,dollach01
130,Joey Wentz*,27,3TM,2LG,-0.4,5,7,.417,5.60,39,13,9,0,0,0,98.0,110,66,61,11,43,3,92,1,0,5,442,75,4.06,1.561,10.1,1.0,3.9,8.4,2.14,,wentzjo01
130,Joey Wentz*,27,2TM,NL,0.1,5,7,.417,4.70,33,13,7,0,0,0,90.0,93,52,47,8,34,3,86,1,0,3,393,90,3.55,1.411,9.3,0.8,3.4,8.6,2.53,,wentzjo01
130,Joey Wentz*,27,PIT,NL,0.3,2,1,.667,4.15,19,0,7,0,0,0,26.0,25,14,12,2,11,2,22,1,0,0,115,104,3.83,1.385,8.7,0.7,3.8,7.6,2.00,,wentzjo01
130,Joey Wentz*,27,MIN,AL,-0.4,0,0,,15.75,6,0,2,0,0,0,8.0,17,14,14,3,9,0,6,0,0,2,49,28,9.89,3.250,19.1,3.4,10.1,6.8,0.67,,wentzjo01
130,Joey Wentz*,27,ATL,NL,-0.2,3,6,.333,4.92,14,13,0,0,0,0,64.0,68,38,35,6,23,1,64,0,0,3,278,85,3.43,1.422,9.6,0.8,3.2,9.0,2.78,,wentzjo01
